frame,object_id,speed_m_s,speed_kmh
90,17,5.496,19.78
90,19,1.236,4.45
90,20,11.926,42.93
90,21,4.031,14.51
90,23,2.744,9.88
90,24,26.547,95.57
90,26,13.416,48.30
90,27,10.349,37.26
90,30,13.416,48.30
90,31,5.303,19.09
90,32,12.000,43.20
90,34,19.209,69.15
90,36,18.974,68.31
90,37,21.633,77.88
90,38,18.974,68.31
91,1,6.631,23.87
91,2,5.034,18.12
91,4,7.005,25.22
91,10,10.387,37.39
91,13,10.859,39.09
91,15,12.620,45.43
91,16,5.368,19.32
91,17,5.557,20.00
91,19,1.344,4.84
91,20,11.926,42.93
91,21,4.031,14.51
91,23,2.744,9.88
91,24,27.307,98.30
91,26,13.416,48.30
91,27,8.732,31.44
91,30,13.416,48.30
91,31,5.497,19.79
91,32,12.000,43.20
91,34,19.209,69.15
91,36,18.974,68.31
91,37,21.633,77.88
91,38,17.493,62.97
92,1,6.631,23.87
92,2,5.034,18.12
92,4,7.071,25.45
92,10,10.938,39.38
92,13,10.859,39.09
92,15,13.050,46.98
92,16,5.368,19.32
92,17,5.551,19.98
92,19,1.235,4.45
92,20,11.926,42.93
92,21,4.031,14.51
92,23,2.744,9.88
92,24,27.856,100.28
92,26,13.416,48.30
92,27,8.321,29.95
92,30,13.416,48.30
92,31,5.532,19.91
92,32,12.000,43.20
92,34,19.209,69.15
92,36,18.974,68.31
92,37,21.633,77.88
92,38,20.591,74.13
93,1,6.631,23.87
93,2,5.034,18.12
93,4,7.280,26.21
93,10,10.938,39.38
93,13,10.859,39.09
93,15,13.371,48.13
93,16,5.368,19.32
93,17,5.428,19.54
93,19,1.235,4.45
93,20,11.926,42.93
93,21,4.031,14.51
93,23,2.744,9.88
93,24,27.856,100.28
93,26,13.416,48.30
93,27,7.336,26.41
93,30,13.416,48.30
93,31,6.098,21.95
93,32,12.000,43.20
93,34,19.209,69.15
93,36,18.974,68.31
93,37,21.633,77.88
93,38,20.839,75.02
93,41,38.419,138.31
93,42,13.416,48.30
94,1,6.631,23.87
94,2,5.034,18.12
94,4,7.128,25.66
94,10,10.938,39.38
94,13,10.859,39.09
94,15,14.006,50.42
94,16,5.368,19.32
94,17,5.486,19.75
94,19,1.235,4.45
94,20,2.499,9.00
94,21,4.031,14.51
94,23,2.744,9.88
94,24,27.856,100.28
94,26,13.416,48.30
94,27,7.473,26.90
94,30,13.416,48.30
94,31,6.185,22.26
94,32,12.000,43.20
94,34,19.209,69.15
94,36,18.974,68.31
94,37,21.633,77.88
94,38,20.991,75.57
94,41,45.000,162.00
94,42,10.817,38.94
95,1,6.631,23.87
95,2,5.034,18.12
95,4,7.272,26.18
95,10,11.893,42.81
95,13,10.859,39.09
95,15,14.077,50.68
95,16,5.368,19.32
95,17,5.482,19.73
95,19,1.235,4.45
95,20,2.238,8.06
95,21,4.031,14.51
95,23,2.744,9.88
95,24,27.856,100.28
95,26,13.416,48.30
95,27,7.242,26.07
95,30,13.416,48.30
95,31,6.158,22.17
95,32,12.000,43.20
95,34,19.209,69.15
95,36,18.974,68.31
95,37,21.633,77.88
95,38,21.954,79.04
95,41,45.607,164.19
95,42,10.817,38.94
96,1,6.631,23.87
96,2,5.034,18.12
96,4,7.272,26.18
96,10,12.047,43.37
96,13,10.859,39.09
96,15,14.048,50.57
96,16,5.368,19.32
96,17,5.368,19.32
96,19,1.235,4.45
96,20,1.789,6.44
96,21,4.031,14.51
96,23,2.744,9.88
96,24,27.856,100.28
96,26,13.416,48.30
96,27,6.659,23.97
96,30,13.416,48.30
96,31,6.653,23.95
96,32,12.000,43.20
96,34,19.209,69.15
96,36,18.974,68.31
96,37,21.633,77.88
96,38,21.903,78.85
96,41,41.488,149.36
96,42,10.817,38.94
97,1,6.631,23.87
97,2,5.034,18.12
97,4,7.266,26.16
97,10,12.047,43.37
97,13,10.859,39.09
97,15,14.124,50.85
97,16,5.368,19.32
97,17,5.424,19.53
97,19,1.235,4.45
97,20,1.409,5.07
97,21,4.031,14.51
97,23,2.744,9.88
97,24,27.856,100.28
97,26,13.416,48.30
97,27,7.134,25.68
97,30,13.416,48.30
97,31,6.210,22.35
97,32,12.000,43.20
97,34,19.209,69.15
97,36,18.974,68.31
97,37,21.633,77.88
97,38,21.866,78.72
97,41,40.765,146.75
97,42,10.817,38.94
98,1,6.631,23.87
98,2,5.034,18.12
98,4,7.266,26.16
98,10,12.881,46.37
98,13,10.859,39.09
98,15,14.197,51.11
98,16,5.368,19.32
98,17,5.421,19.52
98,19,1.235,4.45
98,20,1.326,4.77
98,21,4.031,14.51
98,23,2.744,9.88
98,24,27.856,100.28
98,26,13.416,48.30
98,27,7.605,27.38
98,30,13.416,48.30
98,31,5.822,20.96
98,32,12.000,43.20
98,34,19.209,69.15
98,36,18.974,68.31
98,37,21.633,77.88
98,38,22.755,81.92
98,41,40.311,145.12
98,42,10.817,38.94
99,1,6.631,23.87
99,2,5.034,18.12
99,4,7.192,25.89
99,10,13.914,50.09
99,13,10.859,39.09
99,15,14.269,51.37
99,16,5.368,19.32
99,17,5.531,19.91
99,19,1.235,4.45
99,20,1.091,3.93
99,21,4.031,14.51
99,23,2.744,9.88
99,24,27.856,100.28
99,26,13.416,48.30
99,27,7.649,27.53
99,30,13.416,48.30
99,31,5.821,20.96
99,32,12.000,43.20
99,34,19.209,69.15
99,36,18.974,68.31
99,37,21.633,77.88
99,38,23.153,83.35
99,41,39.401,141.84
99,42,10.817,38.94
100,1,6.631,23.87
100,2,5.034,18.12
100,4,7.335,26.41
100,10,13.954,50.24
100,13,10.859,39.09
100,15,14.269,51.37
100,16,5.368,19.32
100,17,5.482,19.73
100,19,1.235,4.45
100,20,0.950,3.42
100,21,4.031,14.51
100,23,2.744,9.88
100,24,27.856,100.28
100,26,13.416,48.30
100,27,7.944,28.60
100,30,13.416,48.30
100,31,5.907,21.26
100,32,12.000,43.20
100,34,19.209,69.15
100,36,18.974,68.31
100,37,21.633,77.88
100,38,23.763,85.55
100,41,39.302,141.49
100,42,10.817,38.94
101,1,6.631,23.87
101,2,5.034,18.12
101,4,7.263,26.15
101,10,14.146,50.93
101,13,10.859,39.09
101,15,14.396,51.83
101,16,5.368,19.32
101,17,5.476,19.71
101,19,1.235,4.45
101,20,0.857,3.09
101,21,4.031,14.51
101,23,2.744,9.88
101,24,27.856,100.28
101,26,13.416,48.30
101,27,8.402,30.25
101,30,13.416,48.30
101,31,6.204,22.34
101,32,12.000,43.20
101,34,19.209,69.15
101,36,18.974,68.31
101,37,21.633,77.88
101,38,24.698,88.91
101,41,39.777,143.20
101,42,10.817,38.94
102,1,6.631,23.87
102,2,5.034,18.12
102,4,7.336,26.41
102,10,14.390,51.80
102,13,10.859,39.09
102,15,14.632,52.68
102,16,5.368,19.32
102,17,5.375,19.35
102,19,1.235,4.45
102,20,0.972,3.50
102,21,4.031,14.51
102,23,2.744,9.88
102,24,13.168,47.40
102,26,13.416,48.30
102,27,8.769,31.57
102,30,13.416,48.30
102,31,6.264,22.55
102,32,12.000,43.20
102,34,19.209,69.15
102,36,18.974,68.31
102,37,21.633,77.88
102,38,24.855,89.48
102,41,40.486,145.75
102,42,10.817,38.94
103,1,6.631,23.87
103,2,5.034,18.12
103,4,7.340,26.43
103,10,14.536,52.33
103,13,10.859,39.09
103,15,14.632,52.68
103,16,5.368,19.32
103,17,5.426,19.53
103,19,1.235,4.45
103,20,1.235,4.45
103,21,4.031,14.51
103,23,2.744,9.88
103,24,13.663,49.19
103,26,13.416,48.30
103,27,9.059,32.61
103,30,13.416,48.30
103,31,6.240,22.46
103,32,12.000,43.20
103,34,19.209,69.15
103,36,18.974,68.31
103,37,21.633,77.88
103,38,24.855,89.48
103,41,39.462,142.06
103,42,10.817,38.94
104,1,6.631,23.87
104,2,5.034,18.12
104,4,7.340,26.43
104,10,14.536,52.33
104,13,10.859,39.09
104,15,14.632,52.68
104,16,5.368,19.32
104,17,5.476,19.71
104,19,1.235,4.45
104,20,1.302,4.69
104,21,4.031,14.51
104,23,2.744,9.88
104,24,13.663,49.19
104,26,13.416,48.30
104,27,9.660,34.78
104,30,13.416,48.30
104,31,6.483,23.34
104,32,12.000,43.20
104,34,19.209,69.15
104,36,18.974,68.31
104,37,21.633,77.88
104,38,24.855,89.48
104,41,38.994,140.38
104,42,10.817,38.94
104,49,37.947,136.61
105,1,6.631,23.87
105,2,5.034,18.12
105,4,7.410,26.68
105,10,14.536,52.33
105,13,10.859,39.09
105,15,14.632,52.68
105,16,5.368,19.32
105,17,5.476,19.71
105,19,1.235,4.45
105,20,1.538,5.54
105,21,4.117,14.82
105,23,2.744,9.88
105,24,13.663,49.19
105,26,13.416,48.30
105,27,9.912,35.68
105,30,13.416,48.30
105,31,6.454,23.23
105,32,12.000,43.20
105,34,19.209,69.15
105,36,18.974,68.31
105,37,21.633,77.88
105,38,24.855,89.48
105,41,40.657,146.37
105,42,10.817,38.94
105,49,37.590,135.32
106,1,6.631,23.87
106,2,5.034,18.12
106,4,7.491,26.97
106,10,14.536,52.33
106,13,10.859,39.09
106,15,13.045,46.96
106,16,5.368,19.32
106,17,5.429,19.54
106,19,1.235,4.45
106,20,1.538,5.54
106,21,3.721,13.40
106,23,2.744,9.88
106,24,13.663,49.19
106,26,13.416,48.30
106,27,10.482,37.74
106,30,13.416,48.30
106,31,6.185,22.26
106,32,12.000,43.20
106,34,19.209,69.15
106,36,18.974,68.31
106,37,21.633,77.88
106,38,24.855,89.48
106,41,40.657,146.37
106,42,10.817,38.94
106,49,36.715,132.17
107,1,6.631,23.87
107,2,5.034,18.12
107,4,7.578,27.28
107,10,14.536,52.33
107,13,10.859,39.09
107,15,13.202,47.53
107,16,5.368,19.32
107,17,5.337,19.21
107,19,1.235,4.45
107,20,1.538,5.54
107,21,3.293,11.86
107,23,2.744,9.88
107,24,13.663,49.19
107,26,13.416,48.30
107,27,11.062,39.82
107,30,13.416,48.30
107,31,5.770,20.77
107,32,12.000,43.20
107,34,19.209,69.15
107,36,18.974,68.31
107,37,21.633,77.88
107,38,24.855,89.48
107,41,40.657,146.37
107,42,10.817,38.94
107,49,38.331,137.99
108,2,5.034,18.12
108,4,7.656,27.56
108,10,14.536,52.33
108,13,10.859,39.09
108,15,13.202,47.53
108,16,5.368,19.32
108,17,5.385,19.39
108,19,1.235,4.45
108,20,1.538,5.54
108,21,2.886,10.39
108,23,2.744,9.88
108,24,13.663,49.19
108,26,13.416,48.30
108,27,11.385,40.99
108,30,13.416,48.30
108,31,5.770,20.77
108,32,12.000,43.20
108,34,19.209,69.15
108,36,18.974,68.31
108,37,21.633,77.88
108,38,24.855,89.48
108,41,2.019,7.27
108,42,10.817,38.94
108,49,39.308,141.51
108,55,12.000,43.20
109,2,5.034,18.12
109,4,7.592,27.33
109,10,14.536,52.33
109,13,10.859,39.09
109,15,13.202,47.53
109,16,5.368,19.32
109,17,5.297,19.07
109,19,1.235,4.45
109,20,1.538,5.54
109,21,2.499,9.00
109,23,2.744,9.88
109,24,13.663,49.19
109,27,11.764,42.35
109,30,13.416,48.30
109,31,5.770,20.77
109,32,12.000,43.20
109,34,19.209,69.15
109,36,18.974,68.31
109,37,21.633,77.88
109,38,24.855,89.48
109,41,3.993,14.38
109,42,10.817,38.94
109,49,39.308,141.51
109,55,9.487,34.15
110,2,5.034,18.12
110,4,7.831,28.19
110,10,14.536,52.33
110,13,10.859,39.09
110,15,13.202,47.53
110,16,5.368,19.32
110,17,5.396,19.43
110,19,1.235,4.45
110,20,1.538,5.54
110,21,2.130,7.67
110,23,2.744,9.88
110,24,13.663,49.19
110,27,12.124,43.65
110,30,13.416,48.30
110,31,5.770,20.77
110,32,12.000,43.20
110,34,19.209,69.15
110,36,18.974,68.31
110,37,21.633,77.88
110,38,24.855,89.48
110,41,6.146,22.13
110,42,10.817,38.94
110,49,39.308,141.51
110,55,8.246,29.69
111,2,5.034,18.12
111,4,7.770,27.97
111,10,14.536,52.33
111,13,10.859,39.09
111,15,13.202,47.53
111,16,5.368,19.32
111,17,5.396,19.43
111,19,1.235,4.45
111,20,1.538,5.54
111,21,1.709,6.15
111,23,2.744,9.88
111,24,13.663,49.19
111,27,12.779,46.00
111,30,13.416,48.30
111,31,5.770,20.77
111,32,12.000,43.20
111,34,19.209,69.15
111,36,18.974,68.31
111,37,21.633,77.88
111,38,24.855,89.48
111,41,8.532,30.72
111,42,10.817,38.94
111,49,39.308,141.51
111,55,8.078,29.08
112,2,5.034,18.12
112,4,7.912,28.48
112,10,14.536,52.33
112,13,10.859,39.09
112,15,13.202,47.53
112,16,5.368,19.32
112,17,5.415,19.49
112,19,1.235,4.45
112,20,1.538,5.54
112,21,1.373,4.94
112,23,2.744,9.88
112,24,13.663,49.19
112,27,13.274,47.79
112,30,13.416,48.30
112,31,5.770,20.77
112,32,12.000,43.20
112,34,19.209,69.15
112,36,18.974,68.31
112,37,21.633,77.88
112,38,24.855,89.48
112,41,9.795,35.26
112,42,10.817,38.94
112,49,39.308,141.51
112,53,8.944,32.20
112,55,7.589,27.32
113,2,5.034,18.12
113,4,8.015,28.85
113,10,14.536,52.33
113,15,13.202,47.53
113,16,5.368,19.32
113,17,5.392,19.41
113,19,1.235,4.45
113,20,1.538,5.54
113,21,1.052,3.79
113,24,13.663,49.19
113,27,13.878,49.96
113,30,13.416,48.30
113,31,5.770,20.77
113,32,12.000,43.20
113,34,19.209,69.15
113,36,18.974,68.31
113,37,21.633,77.88
113,38,24.855,89.48
113,41,11.114,40.01
113,42,10.817,38.94
113,49,39.308,141.51
113,53,8.442,30.39
113,55,6.325,22.77
114,2,5.034,18.12
114,4,8.015,28.85
114,10,14.536,52.33
114,15,13.202,47.53
114,16,5.368,19.32
114,17,5.315,19.13
114,19,1.235,4.45
114,20,1.538,5.54
114,21,0.687,2.47
114,24,13.663,49.19
114,27,14.392,51.81
114,31,5.770,20.77
114,32,12.000,43.20
114,34,19.209,69.15
114,36,18.974,68.31
114,37,21.633,77.88
114,38,24.855,89.48
114,41,11.957,43.04
114,42,10.817,38.94
114,49,39.308,141.51
114,53,8.442,30.39
114,55,6.240,22.46
115,2,5.034,18.12
115,4,8.124,29.24
115,10,14.536,52.33
115,15,13.202,47.53
115,17,5.204,18.74
115,19,1.235,4.45
115,20,1.538,5.54
115,21,0.280,1.01
115,24,13.663,49.19
115,27,14.774,53.19
115,31,5.770,20.77
115,34,19.209,69.15
115,36,18.974,68.31
115,37,21.633,77.88
115,38,24.855,89.48
115,41,11.957,43.04
115,42,10.817,38.94
115,49,39.308,141.51
115,53,8.667,31.20
115,55,6.408,23.07
115,62,30.000,108.00
116,2,5.034,18.12
116,4,8.124,29.24
116,10,14.536,52.33
116,15,13.202,47.53
116,17,5.077,18.28
116,19,1.235,4.45
116,20,1.538,5.54
116,21,0.000,0.00
116,24,13.663,49.19
116,27,15.491,55.77
116,31,5.770,20.77
116,34,19.209,69.15
116,36,18.974,68.31
116,37,21.633,77.88
116,38,24.855,89.48
116,41,11.957,43.04
116,42,10.817,38.94
116,49,39.308,141.51
116,53,8.667,31.20
116,55,5.963,21.47
116,62,30.000,108.00
116,64,34.986,125.95
117,2,5.034,18.12
117,4,8.292,29.85
117,10,14.536,52.33
117,15,13.202,47.53
117,17,5.214,18.77
117,19,1.235,4.45
117,20,1.538,5.54
117,21,0.339,1.22
117,24,13.663,49.19
117,27,15.990,57.57
117,31,5.770,20.77
117,34,0.909,3.27
117,36,18.974,68.31
117,37,21.633,77.88
117,38,24.855,89.48
117,41,11.957,43.04
117,42,10.817,38.94
117,49,39.308,141.51
117,53,8.667,31.20
117,55,5.692,20.49
117,62,30.000,108.00
117,64,31.890,114.81
118,2,5.034,18.12
118,4,8.322,29.96
118,10,14.536,52.33
118,15,13.202,47.53
118,17,5.135,18.48
118,19,1.235,4.45
118,20,1.538,5.54
118,21,0.339,1.22
118,24,13.663,49.19
118,27,16.516,59.46
118,31,5.770,20.77
118,34,0.636,2.29
118,36,18.974,68.31
118,37,21.633,77.88
118,38,24.855,89.48
118,41,11.957,43.04
118,42,10.817,38.94
118,49,39.308,141.51
118,53,8.667,31.20
118,55,6.219,22.39
118,62,30.000,108.00
118,64,43.909,158.07
119,2,5.034,18.12
119,4,8.322,29.96
119,10,14.536,52.33
119,15,13.202,47.53
119,17,5.116,18.42
119,19,1.235,4.45
119,20,1.538,5.54
119,21,0.339,1.22
119,24,13.663,49.19
119,27,16.992,61.17
119,31,5.770,20.77
119,34,0.857,3.09
119,36,1.286,4.63
119,37,21.633,77.88
119,38,24.855,89.48
119,41,11.957,43.04
119,42,10.817,38.94
119,49,39.308,141.51
119,53,8.667,31.20
119,55,6.500,23.40
119,62,30.000,108.00
119,64,43.909,158.07
120,2,5.034,18.12
120,4,8.494,30.58
120,10,14.536,52.33
120,15,13.202,47.53
120,17,5.116,18.42
120,19,1.235,4.45
120,20,1.538,5.54
120,21,0.339,1.22
120,24,13.663,49.19
120,27,17.012,61.24
120,31,5.770,20.77
120,34,0.857,3.09
120,36,0.789,2.84
120,38,24.855,89.48
120,41,11.957,43.04
120,42,10.817,38.94
120,49,39.308,141.51
120,53,8.667,31.20
120,55,6.720,24.19
120,62,30.000,108.00
120,64,43.909,158.07
121,4,8.668,31.20
121,10,14.536,52.33
121,15,13.202,47.53
121,17,5.101,18.36
121,19,1.235,4.45
121,20,1.538,5.54
121,21,0.339,1.22
121,24,13.663,49.19
121,27,17.011,61.24
121,31,5.770,20.77
121,34,0.857,3.09
121,36,1.098,3.95
121,38,24.855,89.48
121,41,11.957,43.04
121,42,10.817,38.94
121,49,39.308,141.51
121,53,8.667,31.20
121,55,6.371,22.94
121,62,30.000,108.00
121,64,43.909,158.07
122,4,8.704,31.33
122,10,14.536,52.33
122,15,13.202,47.53
122,17,4.962,17.86
122,19,1.235,4.45
122,20,1.538,5.54
122,21,0.339,1.22
122,24,13.663,49.19
122,27,17.151,61.75
122,31,5.770,20.77
122,34,0.857,3.09
122,36,1.344,4.84
122,38,24.855,89.48
122,41,11.957,43.04
122,42,10.817,38.94
122,49,39.308,141.51
122,53,8.667,31.20
122,55,5.946,21.41
122,62,30.000,108.00
122,64,43.909,158.07
123,4,8.931,32.15
123,10,14.536,52.33
123,15,13.202,47.53
123,17,4.962,17.86
123,20,1.538,5.54
123,21,0.339,1.22
123,24,13.663,49.19
123,27,17.049,61.38
123,31,5.971,21.50
123,34,0.857,3.09
123,36,1.622,5.84
123,38,24.855,89.48
123,41,11.957,43.04
123,42,10.817,38.94
123,49,39.308,141.51
123,53,8.667,31.20
123,55,6.058,21.81
123,62,30.000,108.00
123,64,43.909,158.07
124,4,8.969,32.29
124,10,14.536,52.33
124,15,13.202,47.53
124,17,5.007,18.03
124,20,1.538,5.54
124,21,0.339,1.22
124,24,13.663,49.19
124,27,17.183,61.86
124,31,5.971,21.50
124,34,0.857,3.09
124,36,2.107,7.58
124,38,24.855,89.48
124,41,11.957,43.04
124,42,10.817,38.94
124,45,4.096,14.75
124,49,39.308,141.51
124,53,8.667,31.20
124,55,6.164,22.19
124,62,30.000,108.00
124,64,43.909,158.07
125,4,9.009,32.43
125,10,14.536,52.33
125,15,13.202,47.53
125,17,5.000,18.00
125,20,1.538,5.54
125,21,0.339,1.22
125,24,13.663,49.19
125,27,17.458,62.85
125,31,5.971,21.50
125,34,0.857,3.09
125,36,2.107,7.58
125,38,24.855,89.48
125,41,11.957,43.04
125,45,3.256,11.72
125,49,39.308,141.51
125,53,8.667,31.20
125,55,6.566,23.64
125,62,30.000,108.00
125,64,43.909,158.07
126,4,9.189,33.08
126,10,14.536,52.33
126,15,13.202,47.53
126,17,4.863,17.51
126,20,1.538,5.54
126,21,0.339,1.22
126,24,13.663,49.19
126,27,17.458,62.85
126,31,5.971,21.50
126,34,0.857,3.09
126,36,2.107,7.58
126,38,24.855,89.48
126,41,11.957,43.04
126,45,2.479,8.92
126,49,39.308,141.51
126,53,8.667,31.20
126,55,6.510,23.44
126,62,30.000,108.00
126,64,43.909,158.07
127,4,9.369,33.73
127,10,14.536,52.33
127,15,13.202,47.53
127,17,4.863,17.51
127,20,1.538,5.54
127,21,0.339,1.22
127,24,13.663,49.19
127,27,17.458,62.85
127,31,5.971,21.50
127,34,0.857,3.09
127,36,2.107,7.58
127,38,24.855,89.48
127,41,11.957,43.04
127,45,1.613,5.81
127,49,39.308,141.51
127,53,8.667,31.20
127,55,6.580,23.69
127,62,30.000,108.00
127,64,43.909,158.07
128,4,9.506,34.22
128,10,14.536,52.33
128,15,13.202,47.53
128,17,4.863,17.51
128,20,1.538,5.54
128,21,0.339,1.22
128,24,13.663,49.19
128,27,17.458,62.85
128,31,5.971,21.50
128,34,0.857,3.09
128,36,2.107,7.58
128,38,24.855,89.48
128,41,11.957,43.04
128,45,0.927,3.34
128,49,39.308,141.51
128,53,8.667,31.20
128,55,6.528,23.50
128,62,30.000,108.00
128,64,43.909,158.07
129,4,9.734,35.04
129,10,14.536,52.33
129,15,13.202,47.53
129,17,4.863,17.51
129,20,1.538,5.54
129,21,0.339,1.22
129,24,13.663,49.19
129,27,17.458,62.85
129,31,5.971,21.50
129,34,0.857,3.09
129,36,2.107,7.58
129,38,24.855,89.48
129,41,11.957,43.04
129,45,0.636,2.29
129,49,39.308,141.51
129,53,8.667,31.20
129,55,6.483,23.34
129,62,30.000,108.00
129,64,43.909,158.07
130,4,9.869,35.53
130,10,14.536,52.33
130,15,13.202,47.53
130,17,4.830,17.39
130,20,1.538,5.54
130,21,0.339,1.22
130,24,13.663,49.19
130,27,17.458,62.85
130,31,5.971,21.50
130,34,0.857,3.09
130,36,2.107,7.58
130,38,24.855,89.48
130,41,11.957,43.04
130,45,0.857,3.09
130,49,39.308,141.51
130,53,8.667,31.20
130,55,6.543,23.55
130,62,30.000,108.00
130,64,43.909,158.07
131,4,9.960,35.86
131,10,14.536,52.33
131,15,13.202,47.53
131,17,4.830,17.39
131,20,1.538,5.54
131,21,0.339,1.22
131,24,13.663,49.19
131,27,17.458,62.85
131,31,5.971,21.50
131,34,0.857,3.09
131,36,2.107,7.58
131,38,4.410,15.88
131,41,11.957,43.04
131,45,1.509,5.43
131,49,39.308,141.51
131,53,8.667,31.20
131,55,6.500,23.40
131,62,30.000,108.00
131,64,43.909,158.07
132,4,10.052,36.19
132,10,14.536,52.33
132,15,13.202,47.53
132,17,4.830,17.39
132,20,1.538,5.54
132,21,0.339,1.22
132,24,13.663,49.19
132,27,17.458,62.85
132,31,5.971,21.50
132,34,0.857,3.09
132,36,2.107,7.58
132,38,4.992,17.97
132,41,11.957,43.04
132,45,1.509,5.43
132,49,39.308,141.51
132,53,1.478,5.32
132,55,6.555,23.60
132,62,30.000,108.00
132,64,43.909,158.07
133,4,10.327,37.18
133,10,14.536,52.33
133,15,13.202,47.53
133,17,4.830,17.39
133,20,1.538,5.54
133,21,0.339,1.22
133,24,13.663,49.19
133,27,17.458,62.85
133,31,5.971,21.50
133,34,0.857,3.09
133,36,2.107,7.58
133,38,5.551,19.98
133,41,11.957,43.04
133,45,1.509,5.43
133,49,39.308,141.51
133,53,1.602,5.77
133,55,6.303,22.69
133,62,30.000,108.00
133,64,43.909,158.07
134,4,10.512,37.84
134,15,13.202,47.53
134,17,4.933,17.76
134,20,1.538,5.54
134,21,0.339,1.22
134,27,17.458,62.85
134,31,5.971,21.50
134,34,0.857,3.09
134,36,2.107,7.58
134,38,6.024,21.69
134,41,11.957,43.04
134,45,1.509,5.43
134,49,39.308,141.51
134,53,1.728,6.22
134,55,6.274,22.58
134,62,30.000,108.00
134,64,43.909,158.07
135,4,10.782,38.82
135,15,13.202,47.53
135,17,4.743,17.08
135,20,1.538,5.54
135,21,0.339,1.22
135,27,17.458,62.85
135,31,5.971,21.50
135,34,0.857,3.09
135,36,2.107,7.58
135,38,6.652,23.95
135,41,11.957,43.04
135,45,1.509,5.43
135,49,39.308,141.51
135,53,1.851,6.66
135,55,6.050,21.78
135,62,30.000,108.00
135,64,43.909,158.07
136,4,10.925,39.33
136,15,13.202,47.53
136,17,4.743,17.08
136,21,0.339,1.22
136,27,17.458,62.85
136,31,5.971,21.50
136,34,0.857,3.09
136,36,2.107,7.58
136,38,7.142,25.71
136,41,11.957,43.04
136,45,1.509,5.43
136,49,39.308,141.51
136,53,2.236,8.05
136,55,6.050,21.78
136,62,30.000,108.00
136,64,43.909,158.07
136,68,6.000,21.60
137,4,11.110,40.00
137,15,13.202,47.53
137,17,4.745,17.08
137,21,0.339,1.22
137,27,17.458,62.85
137,31,5.971,21.50
137,34,0.857,3.09
137,36,2.107,7.58
137,38,7.722,27.80
137,41,11.957,43.04
137,45,1.509,5.43
137,49,39.308,141.51
137,53,2.339,8.42
137,55,6.050,21.78
137,62,30.000,108.00
137,64,43.909,158.07
137,68,6.000,21.60
138,4,11.297,40.67
138,17,4.745,17.08
138,21,0.339,1.22
138,27,17.458,62.85
138,31,5.971,21.50
138,34,0.857,3.09
138,36,2.107,7.58
138,38,8.278,29.80
138,41,11.957,43.04
138,45,1.509,5.43
138,49,39.308,141.51
138,53,2.612,9.40
138,55,6.050,21.78
138,62,30.000,108.00
138,64,43.909,158.07
138,68,6.325,22.77
139,4,11.617,41.82
139,17,4.754,17.11
139,21,0.339,1.22
139,27,17.458,62.85
139,31,5.971,21.50
139,34,0.857,3.09
139,36,2.107,7.58
139,38,8.871,31.94
139,41,11.957,43.04
139,45,1.509,5.43
139,53,2.612,9.40
139,55,5.641,20.31
139,62,30.000,108.00
139,64,43.909,158.07
139,68,4.500,16.20
140,4,11.885,42.79
140,17,4.767,17.16
140,21,0.339,1.22
140,27,17.458,62.85
140,31,5.971,21.50
140,34,0.857,3.09
140,36,2.107,7.58
140,38,9.383,33.78
140,41,11.957,43.04
140,45,1.509,5.43
140,53,2.851,10.26
140,55,5.641,20.31
140,62,30.000,108.00
140,64,43.909,158.07
140,68,2.683,9.66
141,4,12.112,43.60
141,17,4.835,17.41
141,21,0.339,1.22
141,27,17.458,62.85
141,31,5.971,21.50
141,34,0.857,3.09
141,36,2.107,7.58
141,38,10.133,36.48
141,41,11.957,43.04
141,45,1.509,5.43
141,53,3.152,11.35
141,55,5.641,20.31
141,62,30.000,108.00
141,64,43.909,158.07
141,68,5.385,19.39
142,4,12.446,44.81
142,17,4.852,17.47
142,21,0.339,1.22
142,27,17.458,62.85
142,31,5.971,21.50
142,34,0.857,3.09
142,36,2.107,7.58
142,38,10.659,38.37
142,41,11.957,43.04
142,45,1.509,5.43
142,53,3.436,12.37
142,55,5.641,20.31
142,60,5.532,19.91
142,62,30.000,108.00
142,64,43.909,158.07
142,68,6.528,23.50
143,4,12.634,45.48
143,17,4.873,17.54
143,21,0.339,1.22
143,27,17.458,62.85
143,31,5.971,21.50
143,34,0.857,3.09
143,36,2.107,7.58
143,38,10.659,38.37
143,41,11.957,43.04
143,45,1.509,5.43
143,53,3.493,12.58
143,55,5.641,20.31
143,60,3.971,14.30
143,62,30.000,108.00
143,64,43.909,158.07
143,68,6.408,23.07
144,4,12.993,46.78
144,17,4.824,17.36
144,21,0.339,1.22
144,27,17.458,62.85
144,31,5.971,21.50
144,34,0.857,3.09
144,36,2.107,7.58
144,38,10.659,38.37
144,41,11.957,43.04
144,45,1.509,5.43
144,53,3.401,12.24
144,55,5.641,20.31
144,60,2.523,9.08
144,62,30.000,108.00
144,64,43.909,158.07
144,68,6.408,23.07
145,4,13.408,48.27
145,17,4.873,17.54
145,21,0.339,1.22
145,27,17.458,62.85
145,31,5.971,21.50
145,34,0.857,3.09
145,36,2.107,7.58
145,38,10.659,38.37
145,45,1.509,5.43
145,53,3.401,12.24
145,55,5.492,19.77
145,60,0.979,3.52
145,62,30.000,108.00
145,64,43.909,158.07
145,68,5.532,19.91
146,4,13.691,49.29
146,17,4.824,17.36
